PATHWAY_URI	DISPLAY_NAME	DIRECT_SUB_PATHWAY_URIS	ALL_SUB_PATHWAY_URIS
http://pathwaycommons.org/pc2/Pathway_d9e75fb6c33197935469717fe86cc0e9	Signaling with low concentrations of Hh ( Hedgehog signaling pathway ) 		http://pathwaycommons.org/pc2/Pathway_367f1ca235303f16adab0a454cf73a2b;http://pathwaycommons.org/pc2/Pathway_9a0f2df8e154d7c8507a0f76d0c15f94;
http://pathwaycommons.org/pc2/Pathway_62313d76ad835e6bb38f6f4d8ff81788	memory T cell differentiation		
http://pathwaycommons.org/pc2/Pathway_734b38657ead53b0299e9671be672445	Wnt		
http://pathwaycommons.org/pc2/Pathway_c337168f6305a92ea219aa6c57a3ba10	Beta Oxidation		
http://pathwaycommons.org/pc2/Pathway_555ba8b7a7fa2f6225dfa280d5d740df	cytokine production involved in inflammatory response		
http://pathwaycommons.org/pc2/Pathway_18cedf298b8dc18ab8d4ca2f0e0c7e84	protein catabolic process		
http://pathwaycommons.org/pc2/Pathway_fd45255b8b736012fabe04a1d0e1d5f8	Aprotinin inhibition of Plasminogen		
http://identifiers.org/reactome/R-HSA-3785653	Myoclonic epilepsy of Lafora		
http://pathwaycommons.org/pc2/Pathway_3ee4398abc267c3df439af1adc10cade	Cell proliferation ( Insulin receptor signaling (Mammal) ) 		
http://identifiers.org/reactome/R-HSA-561048	Organic anion transport		
http://pathwaycommons.org/pc2/Pathway_3de6dcae736dbcaecbff6584dfc245e9	(R)-Methyl-malonyl-CoA = Succinyl-CoA ( Propanoate metabolism ) 		
http://pathwaycommons.org/pc2/Pathway_bc58d7c1e0af5d034d7fe52121fa7da6	superoxide radicals degradation		
http://pathwaycommons.org/pc2/Pathway_c17e4c9b8a1dce038f97f319e026a76f	Naproxen inhibition of Prostaglandin G/H synthase 1		
http://identifiers.org/reactome/R-HSA-5173214	O-glycosylation of TSR domain-containing proteins		
http://pathwaycommons.org/pc2/Pathway_def4f6ba882ec41c5750d8a81f789bde	oxygen and reactive oxygen species metabolic process		
http://pathwaycommons.org/pc2/Pathway_b55003067e0afd7523315a22e1a10984	negative regulation of cell cycle		
http://pathwaycommons.org/pc2/Pathway_648e02cb5b0cad8e1e56e93ccccca687	NAD+ + L-2-Amino-adipate 6-semialdehyde + H2O = NADH + L-2-Amino-adipic acid ( Lysine degradation ) 		
http://identifiers.org/reactome/R-HSA-5173105	O-linked glycosylation	http://identifiers.org/reactome/R-HSA-5173214;http://identifiers.org/reactome/R-HSA-913709;	http://identifiers.org/reactome/R-HSA-977068;http://identifiers.org/reactome/R-HSA-5173214;http://identifiers.org/reactome/R-HSA-913709;
http://pathwaycommons.org/pc2/Pathway_f6a38b1d59be7454ce91ceee7e5d448e	molybdenum cofactor biosynthesis		
http://pathwaycommons.org/pc2/Pathway_e53ed8a403c1b5ee5683dc850fb48035	Naloxone inhibition of Mu-type opioid receptor		
http://pathwaycommons.org/pc2/Pathway_6c5de020789ea70c7044c94ca62ad2b4	cell-cell signaling		
http://pathwaycommons.org/pc2/Pathway_77c85aa503eecab3a57fc52911fb5ff9	Neomycin inhibits Bacterial Ribosome		
http://pathwaycommons.org/pc2/Pathway_e7f4207ac0db6e2812181b7e0c9a6a33	Succinyl-CoA + Acetoacetic acid = Succinic acid + Acetoacetyl-CoA ( Butanoate metabolism ) 		
http://pathwaycommons.org/pc2/Pathway_7fa0b2ee40b0fe61c706068d03861776	Diflunisal inhibition of Prostaglandin G/H synthase 1		
http://pathwaycommons.org/pc2/Pathway_12d57991342ef11d6a7596083f93228e	UDP-D-xylose and UDP-D-glucuronate biosynthesis		
http://pathwaycommons.org/pc2/Pathway_0e1aea57b695e2ae5cff13a2b5a59670	BMP2 signaling pathway(through Smad) ( TGF-beta_BMP Diagram(MolecularVariation) ) 		http://pathwaycommons.org/pc2/Pathway_33b00e273a2472b184acebdcbc1cc9a7;http://pathwaycommons.org/pc2/Pathway_c69d4ae30efb569224823dab10781909;
http://pathwaycommons.org/pc2/Pathway_d21ae78d08510ab594dd536779fa43b2	neuron fate commitment		
http://pathwaycommons.org/pc2/Pathway_e7040e19fdf8b91f7b53109d2513ca6f	Wnt signaling network		http://pathwaycommons.org/pc2/Pathway_cfc24233adc6ca0f251902efe6e51a53;http://pathwaycommons.org/pc2/Pathway_11b70603231e170220fa3496f2f192a2;http://pathwaycommons.org/pc2/Pathway_613c5c2fcac76bb6be9becb898c778c8;
http://pathwaycommons.org/pc2/Pathway_b459f55fd5f1db2fe042427e5c9c642d	IL6		
http://pathwaycommons.org/pc2/Pathway_f77c02fc3255fe850fd2e8045d2e7bc6	Trk receptor signaling mediated by the MAPK pathway		http://pathwaycommons.org/pc2/Pathway_c9181117b5913444dcbc9740a5f9df47;http://pathwaycommons.org/pc2/Pathway_9e9376a0709a49d16db8413ce57401e7;http://pathwaycommons.org/pc2/Pathway_d21ae78d08510ab594dd536779fa43b2;http://pathwaycommons.org/pc2/Pathway_54a60ba46fed7caa7cd28a53d92ec933;http://pathwaycommons.org/pc2/Pathway_6ad39f92e4d26dcb6c344134698926b6;
http://identifiers.org/reactome/R-HSA-2980736	Peptide hormone metabolism	http://identifiers.org/reactome/R-HSA-422085;http://identifiers.org/reactome/R-HSA-400508;http://identifiers.org/reactome/R-HSA-209952;http://identifiers.org/reactome/R-HSA-264876;http://identifiers.org/reactome/R-HSA-2022377;	http://identifiers.org/reactome/R-HSA-422085;http://identifiers.org/reactome/R-HSA-400508;http://identifiers.org/reactome/R-HSA-209952;http://identifiers.org/reactome/R-HSA-381771;http://identifiers.org/reactome/R-HSA-264876;http://identifiers.org/reactome/R-HSA-400511;http://identifiers.org/reactome/R-HSA-209822;http://identifiers.org/reactome/R-HSA-2022377;
http://identifiers.org/reactome/R-HSA-2980766	Nuclear Envelope Breakdown	http://identifiers.org/reactome/R-HSA-4419969;http://identifiers.org/reactome/R-HSA-3301854;http://identifiers.org/reactome/R-HSA-2980767;http://identifiers.org/reactome/R-HSA-2993913;	http://identifiers.org/reactome/R-HSA-4419969;http://identifiers.org/reactome/R-HSA-3301854;http://identifiers.org/reactome/R-HSA-2980767;http://identifiers.org/reactome/R-HSA-2993913;
http://identifiers.org/reactome/R-HSA-2980767	Activation of NIMA Kinases NEK9, NEK6, NEK7		
http://pathwaycommons.org/pc2/Pathway_f9d2df2d118fa657799d0be4811906cf	2 Acetyl-CoA = CoA + Acetoacetyl-CoA ( Lysine degradation ) 		
http://pathwaycommons.org/pc2/Pathway_93ac9ca8fad6b0fe6bf75980bad9e7c2	Desipramine inhibition of Sodium-dependent serotonin transporter		
http://pathwaycommons.org/pc2/Pathway_fa3e94552f69e7e3a9dc99a78e330132	EGFR-dependent Endothelin signaling events		http://pathwaycommons.org/pc2/Pathway_9649399690a8298ec9fa1c408b6f683d;
http://pathwaycommons.org/pc2/Pathway_5642bc9b79da077886758b501ce4d85d	C5-Branched dibasic acid metabolism		
http://pathwaycommons.org/pc2/Pathway_859db6c6b207d19469db3b0103dea639	ethanol degradation IV		
http://pathwaycommons.org/pc2/Pathway_a68e5516e521db9cacd24a09709e3b8e	mammary epithelium		
http://pathwaycommons.org/pc2/Pathway_a51201379937e07979515a4d426b307f	G-protein signalling cascade		
http://pathwaycommons.org/pc2/Pathway_e5155b752092e87c307a92cbd9bb05f8	Rheb activation of mTOR		
http://pathwaycommons.org/pc2/Pathway_f11d75e288b418d2b38649beec7e4e4d	Pindolol Activation of Beta-1 adrenergic receptor		
http://identifiers.org/wikipathways/WP75/c5c35	Ubiquitin mediated proteolysis		
http://pathwaycommons.org/pc2/Pathway_2a04b2574ae105f9b074d4795d717ed3	regulation of calcium-dependent cell-cell adhesion		
http://pathwaycommons.org/pc2/Pathway_62e087863faff3e7a61f51c946991b59	ERK cascade ( Integrin signaling pathway ) 		
http://pathwaycommons.org/pc2/Pathway_c97b1d4c439fd39935f00f6dcd7b0e48	endothelial cell proliferation		
http://pathwaycommons.org/pc2/Pathway_674d267d64fb1295a566ff3ff5b24160	Beta oxidation		
http://pathwaycommons.org/pc2/Pathway_1b12f9b232efe3cbf680974cddf66959	NAD+ + 3,4-Dihydroxy-phenyl-acetaldehyde + H2O = NADH + 3,4-Dihydroxy-phenyl-acetic acid ( Tyrosine metabolism ) 		
http://identifiers.org/reactome/R-HSA-1257604	PI3K/AKT Signaling	http://identifiers.org/reactome/R-HSA-198693;http://identifiers.org/reactome/R-HSA-199418;http://identifiers.org/reactome/R-HSA-198323;http://identifiers.org/reactome/R-HSA-6807070;	http://identifiers.org/reactome/R-HSA-8948700;http://identifiers.org/reactome/R-HSA-8948751;http://identifiers.org/reactome/R-HSA-198693;http://identifiers.org/reactome/R-HSA-199418;http://identifiers.org/reactome/R-HSA-198323;http://identifiers.org/reactome/R-HSA-6811558;http://identifiers.org/reactome/R-HSA-8948747;http://identifiers.org/reactome/R-HSA-8943724;http://identifiers.org/reactome/R-HSA-6807070;http://identifiers.org/reactome/R-HSA-8943723;
http://identifiers.org/reactome/R-HSA-997269	Inhibition of adenylate cyclase pathway	http://identifiers.org/reactome/R-HSA-170670;	http://identifiers.org/reactome/R-HSA-170670;
http://identifiers.org/reactome/R-HSA-997272	Inhibition of voltage gated Ca2+ channels via Gbeta/gamma subunits		
http://pathwaycommons.org/pc2/Pathway_d427129c782431a2c28a5ce43003848b	Methylation		
http://pathwaycommons.org/pc2/Pathway_371e644dc646165f9686df736b2cb153	(S)-2,3-Epoxy-squalene = Lanosterol ( Steroids metabolism ) 		
http://pathwaycommons.org/pc2/Pathway_069b1dbd38fd9f8b15b435d7d89a2168	AKT(PKB)-FOXO signaling ( Insulin receptor signaling (Mammal) ) 		http://pathwaycommons.org/pc2/Pathway_ff643374d20487cdbdb1b5f2047eb0d4;http://pathwaycommons.org/pc2/Pathway_fbe071bab70f69e78f21d2dc5b2b1826;
http://pathwaycommons.org/pc2/Pathway_067119bdab7ca0670b91ee69d6aa0f2f	sucrose degradation V (mammalian)		
http://pathwaycommons.org/pc2/Pathway_6533510a48a5702becc8f44772dc1662	Dendritic Cell		
http://pathwaycommons.org/pc2/Pathway_4e254543820ea26692e6e8afeeac0b34	Aminosugars metabolism		
http://pathwaycommons.org/pc2/Pathway_12d199a0f5c2491ed1e304dcb504e782	sprouting angiogenesis		
http://pathwaycommons.org/pc2/Pathway_8d027f1b7d9a3d44ae39025fbe224a1c	Tigecycline inhibits Bacterial Ribosome		
http://pathwaycommons.org/pc2/Pathway_ec3d6e54212c947138b97bcfb94e5a8b	L-Tetrahydro-folic acid + L-Serine = 5,10-Methylene-tetrahydro-folic acid + Glycine + H2O ( Folate metabolism ) 		
http://pathwaycommons.org/pc2/Pathway_37c9437e63d686a56552ae44180534ae	Zoledronate inhibition of		
http://pathwaycommons.org/pc2/Pathway_613c5c2fcac76bb6be9becb898c778c8	Wnt receptor signaling pathway, planar cell polarity pathway		
http://pathwaycommons.org/pc2/Pathway_a9d5ba9c93903faa50a6fa5b4924139a	smooth muscle cell contraction		
http://identifiers.org/reactome/R-HSA-6811558	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling		
http://identifiers.org/reactome/R-HSA-6811555	PI5P Regulates TP53 Acetylation		
http://identifiers.org/wikipathways/WP399/d2a4c	26S Proteasome Degradation		
http://identifiers.org/reactome/R-HSA-6811436	COPI-independent Golgi-to-ER retrograde traffic		
http://identifiers.org/reactome/R-HSA-6811438	Intra-Golgi traffic		
http://identifiers.org/reactome/R-HSA-6811434	COPI-dependent Golgi-to-ER retrograde traffic		
http://identifiers.org/reactome/R-HSA-6811440	Retrograde transport at the Trans-Golgi-Network		
http://identifiers.org/reactome/R-HSA-6811442	Intra-Golgi and retrograde Golgi-to-ER traffic	http://identifiers.org/reactome/R-HSA-6811440;http://identifiers.org/reactome/R-HSA-8856688;http://identifiers.org/reactome/R-HSA-6811438;	http://identifiers.org/reactome/R-HSA-6811434;http://identifiers.org/reactome/R-HSA-6811440;http://identifiers.org/reactome/R-HSA-8856688;http://identifiers.org/reactome/R-HSA-6811438;http://identifiers.org/reactome/R-HSA-6811436;
http://pathwaycommons.org/pc2/Pathway_1acb96a7e1621e378037769d0717c390	colanic acid building blocks biosynthesis		
http://pathwaycommons.org/pc2/Pathway_d3d96a12b696974e051a72dd48ac5117	fibronectin binding		
http://pathwaycommons.org/pc2/Pathway_7fff32089832ddaad8971c3f08607bfd	L-serine degradation		
http://pathwaycommons.org/pc2/Pathway_90c6ae650e1ee313761164607a20977c	Negative regulation of gene expression ( Insulin receptor signaling (C. elegans) ) 		
http://pathwaycommons.org/pc2/Pathway_5bd9628ef730819dc6c9c92671dc8a32	positive regulation of tyrosine phosphorylation of STAT protein		
http://pathwaycommons.org/pc2/Pathway_44cb068eab9236374079680e11b2b3a7	Trastuzumab Inhibition of Epidermal growth factor receptor		
http://identifiers.org/reactome/R-HSA-1810476	RIP-mediated NFkB activation via ZBP1		
http://pathwaycommons.org/pc2/Pathway_bfaf540f9a81410cb9d52aa5111b3623	positive regulation of JNK cascade		
http://pathwaycommons.org/pc2/Pathway_feca4fe0a9d4d75cb82dfcbb45603fa8	Validated nuclear estrogen receptor beta network		
http://pathwaycommons.org/pc2/Pathway_55920cb080ee5fdcc077f6a40ef2e733	NAD+ + D-Sorbitol = NADH + D-Fructose ( Fructose and Mannose metabolism ) 		
http://pathwaycommons.org/pc2/Pathway_c04b59687605942432bbf927bd3915a2	Reelin signaling pathway		http://pathwaycommons.org/pc2/Pathway_fd51583e4e1afbc5160b9f974e4ba074;http://pathwaycommons.org/pc2/Pathway_e2f1090d5ea55297457da4df9ddb15b2;http://pathwaycommons.org/pc2/Pathway_8679d3faf39e12e2598005845a4ca5ee;http://pathwaycommons.org/pc2/Pathway_9b8ed07d6d8d9a3e099e43e70e704c44;http://pathwaycommons.org/pc2/Pathway_9af8b89865960546ad6fd2ceff48c282;
http://pathwaycommons.org/pc2/Pathway_8d3c77106eb2386c1fe805ebaf0b3a70	Cell differentiation (Canonical) ( Drosophila Wingless/Wnt signaling pathway Diagram ) 		
http://pathwaycommons.org/pc2/Pathway_a8679ea66e66c7810bc08fb93ae89fb3	Phenindione inhibition of Vitamin K epoxide reductase complex subunit 1		
http://pathwaycommons.org/pc2/Pathway_cbd0f0755ce68f5dd11b4b791aba6061	Heat shock protein HSP 90-alpha dissociates from Glucocorticoid receptor		
http://pathwaycommons.org/pc2/Pathway_535af62a9dbecc705694a3a049bfeefe	NAD+ + (S)-3-Hydroxy-butanoyl-CoA = NADH + Acetoacetyl-CoA ( Tryptophan degradation ) 		
http://pathwaycommons.org/pc2/Pathway_6284c9242ef6746036b180f50003bab5	TCR		
http://pathwaycommons.org/pc2/Pathway_8c0547a5afaaf7326baf0a19c9e5428a	mitogenesis		
http://pathwaycommons.org/pc2/Pathway_31c0b9d7e71766bad35a0c96a33f003f	D-glucuronate degradation I		
http://pathwaycommons.org/pc2/Pathway_88628c0d763cf0c7254051bfa0114100	endoderm development (C. elegans) ( C. elegans endoderm induction Wnt signaling pathway Diagram ) 		
http://pathwaycommons.org/pc2/Pathway_1a0b53ec37f3a5ce6d0eafe89a2e8f0f	Pituitary Gland		
http://identifiers.org/reactome/R-HSA-909733	Interferon alpha/beta signaling	http://identifiers.org/reactome/R-HSA-912694;	http://identifiers.org/reactome/R-HSA-912694;
http://pathwaycommons.org/pc2/Pathway_cae2ae2c3073df041555278ea2af825a	ATP + GMP = ADP + GDP ( Purine nucleotides and Nucleosides metabolism ) 		
http://pathwaycommons.org/pc2/Pathway_b748ee70f34d41021237ce83497ec596	serine biosynthesis		
http://identifiers.org/wikipathways/WP143/a14f9	TCA cycle		
http://pathwaycommons.org/pc2/Pathway_7ef98cefe6721a5df18a6b88fb500f07	PAR1-mediated thrombin signaling events		http://pathwaycommons.org/pc2/Pathway_0e7b26b196cb163feb408b339047208f;http://pathwaycommons.org/pc2/Pathway_9a38890ebc3435909cbf855c0b024a19;http://pathwaycommons.org/pc2/Pathway_4e0e3e24de2e9690e6d1b083318958ba;http://pathwaycommons.org/pc2/Pathway_1d347ef8061654587264272cddf15561;http://pathwaycommons.org/pc2/Pathway_c73b045968844b762ad7db1cbea5ce14;http://pathwaycommons.org/pc2/Pathway_073e580e9e5b9cdbf1f5a263de70be28;http://pathwaycommons.org/pc2/Pathway_11b956fc590ffbe900c838e3d28237f4;http://pathwaycommons.org/pc2/Pathway_d722fda7caea327a65554509149a6e16;http://pathwaycommons.org/pc2/Pathway_6533510a48a5702becc8f44772dc1662;http://pathwaycommons.org/pc2/Pathway_b5357aa9688a5d44ee99342b37b3493a;
http://identifiers.org/reactome/R-HSA-3359474	Defective MMACHC causes methylmalonic aciduria and homocystinuria type cblC		
http://identifiers.org/reactome/R-HSA-3359473	Defective MMADHC causes methylmalonic aciduria and homocystinuria type cblD		
http://identifiers.org/reactome/R-HSA-3359475	Defective MMAA causes methylmalonic aciduria type cblA		
http://identifiers.org/reactome/R-HSA-3359471	Defective MMAB causes methylmalonic aciduria type cblB		
http://identifiers.org/reactome/R-HSA-3359478	Defective MUT causes methylmalonic aciduria mut type		
http://identifiers.org/reactome/R-HSA-3359485	Defective CD320 causes methylmalonic aciduria		
http://identifiers.org/reactome/R-HSA-3359454	Defective TCN2 causes hereditary megaloblastic anemia		
http://identifiers.org/reactome/R-HSA-3359458	Defective LMBRD1 causes methylmalonic aciduria and homocystinuria type cblF		
http://identifiers.org/reactome/R-HSA-3359457	Defective GIF causes intrinsic factor deficiency		
http://identifiers.org/reactome/R-HSA-3359463	Defective CUBN causes hereditary megaloblastic anemia 1		
http://identifiers.org/reactome/R-HSA-3359462	Defective AMN causes hereditary megaloblastic anemia 1		
http://identifiers.org/reactome/R-HSA-3359467	Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE		
http://identifiers.org/reactome/R-HSA-3359469	Defective MTR causes methylmalonic aciduria and homocystinuria type cblG		
http://pathwaycommons.org/pc2/Pathway_fadc8cf109ba5de4b39f19f9e7254eea	Androgen-mediated signaling		
http://pathwaycommons.org/pc2/Pathway_fba44418b7cb061727aae07bd384e8e7	actin polymerization or depolymerization		
http://identifiers.org/reactome/R-HSA-6814122	Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding		
http://pathwaycommons.org/pc2/Pathway_506fbc5f9e42639cbead3c426546b5bd	Clindamycin inhibits Bacterial Ribosome		
http://pathwaycommons.org/pc2/Pathway_7b52e543f03102aeeb76a097cffa76f1	IL-23 signaling pathway(JAK2 TYK2 STAT3 STAT4) ( IL-23 signaling(JAK2 TYK2 STAT3 STAT4) ) 		
http://pathwaycommons.org/pc2/Pathway_851afd0320696261fd8ed605d813a071	glutathione redox reactions I		
http://pathwaycommons.org/pc2/Pathway_da06941ba2b943694e823248866470e5	Apoptosis		
http://identifiers.org/reactome/R-HSA-844456	The NLRP3 inflammasome		
http://identifiers.org/reactome/R-HSA-844455	The NLRP1 inflammasome		
http://identifiers.org/reactome/R-HSA-844615	The AIM2 inflammasome		
http://identifiers.org/reactome/R-HSA-844623	The IPAF inflammasome		
http://identifiers.org/reactome/R-HSA-6814848	Glycerophospholipid catabolism		
http://pathwaycommons.org/pc2/Pathway_1e2dc04d84bdb54c01f5360831d99c7a	Norepinephrine activation of Alpha-1A adrenergic receptor		
http://pathwaycommons.org/pc2/Pathway_ca04f462666dd94de6d195453f2e748b	Flecainide inhibition of Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 		
http://pathwaycommons.org/pc2/Pathway_67a00869b6597e2e575e7bf1dc5d97d7	Negative regulation of (G alpha i GDP-GTP exchange signaling) ( GPCR signaling (pertussis toxin) ) 		
http://identifiers.org/reactome/R-HSA-1538133	G0 and Early G1	http://identifiers.org/reactome/R-HSA-1362277;http://identifiers.org/reactome/R-HSA-1362300;	http://identifiers.org/reactome/R-HSA-1362277;http://identifiers.org/reactome/R-HSA-1362300;
http://pathwaycommons.org/pc2/Pathway_eecd28f7cdf05580470ec36a85771c31	2-Oxo-glutaric acid + L-erythro-4-Hydroxy-glutamic acid = L-Glutamic acid + D-4-Hydroxy-2-oxo-glutaric acid ( Arginine and Proline metabolism ) 		
http://pathwaycommons.org/pc2/Pathway_c399c40ef37860e120f996d53da78847	Insulin-mediated glucose transport		
http://pathwaycommons.org/pc2/Pathway_88af25b76310c17d135a92322529c92d	TSH		
http://identifiers.org/reactome/R-HSA-4717374	Defective DPM1 causes DPM1-CDG (CDG-1e)		
http://pathwaycommons.org/pc2/Pathway_81636b1beed0789b84b97edfb00b8eae	Leptin		
http://pathwaycommons.org/pc2/Pathway_fcbb37fbda9f6aa65f87cbfede7c77ec	Oxymorphone inhibition of Mu-type opioid receptor		
http://pathwaycommons.org/pc2/Pathway_4f47e67c03fec62e1a5e769ebf77db83	Skin development ( PDGF signaling pathway ) 		
http://pathwaycommons.org/pc2/Pathway_418d92c83160d0ddc7c878aa797c4e14	noradrenaline and adrenaline degradation		
http://identifiers.org/wikipathways/WP2064/ce0a4	Differentiation		
http://pathwaycommons.org/pc2/Pathway_d111c9ef22edae04d03cf41ec1ccabb0	Pravastatin inhibition of 3-hydroxy-3-methylglutaryl-coenzyme A reductase		
http://pathwaycommons.org/pc2/Pathway_761643275335fc6ab0df18467d376b28	DNA reaction		
http://pathwaycommons.org/pc2/Pathway_8433c2b471822a4ad1f13a87c1d56f82	Eprosartan inhibition of Type-1 angiotensin II receptor 		
http://pathwaycommons.org/pc2/Pathway_e78f6c5d70c43e739f5393446c0da3be	Famotidine inhibition of Histamine H2 receptor		
http://pathwaycommons.org/pc2/Pathway_96e59387689a7cbdbe31836a6fbcdb5c	pyruvate fermentation to lactate		
http://pathwaycommons.org/pc2/Pathway_0f270d856c058a5960ed1f93afc3a0ee	AMP + Pyrophosphate = Adenine + D-5-Phospho-ribosyl 1-diphosphate ( Purine nucleotides and Nucleosides metabolism ) 		
